username,followers_count,following_count,tweet_count,listed_count,topic_id,twitter_user_id,retrieved_date
cheesie,23446,123,28198,262,15,8552342,3/30/2023
EmirichuYT,510289,954,11085,504,5,893714295564910592,3/30/2023
wolfychuuu,166932,173,3166,280,3,902059487065915396,3/30/2023
Merryweatherey,1133020,995,12872,2312,7,2463867379,3/30/2023
Norman_Maggot,272263,3770,41731,1239,7,63025162,3/30/2023
ProjektMelody,619212,1521,10565,1556,3,1148121315943075841,3/30/2023
CovfefeChan,364413,501,91546,651,7,1049054859520090113,3/30/2023
Veibae,549047,494,5469,1454,13,777264456871149568,3/30/2023
jaiyieee,1620350,193,69846,58,11,317755902,3/30/2023
surayaror,65547,2195,60527,291,13,2673974569,3/30/2023
melatinungsari,6347,4996,35769,30,9,738504995759263744,3/30/2023
ieralee,10111,1310,18126,24,14,4046817679,3/30/2023
ruffleseed,16883,664,48354,45,13,19145055,3/30/2023
dririshsea,11272,728,3770,88,10,565166250,3/30/2023
fadzlirozan,549,1371,3019,1,12,1497833120,3/30/2023
DavidInglesTV,67214,2167,9994,1359,14,496997835,3/30/2023
parrysingh,26757,1004,16628,197,15,15143770,3/30/2023
FishMonkeyCow_,12672,453,2389,141,5,967218195986751490,3/30/2023
weeranan,130270,2047,92098,249,7,234274515,3/30/2023
terenceleejx,7503,1979,9930,305,9,44078181,3/30/2023
TheAn1meMan,942862,400,4932,1052,8,1651594488,3/30/2023
donbelleluvver,4482,268,69870,7,12,1371464233469177860,3/30/2023
donstutoch4ever,2765,884,30602,1,12,1523597389801549825,3/30/2023
mainedcm,6728111,355,4559,1697,12,63701775,3/30/2023
maymayentrata07,2844263,163,2781,161,5,803199792369180673,3/30/2023
ZeinabHarake11,7402802,84,605,145,5,991958674909286400,3/30/2023
mikslmnc,3977414,1240,18354,149,10,1000229461856530432,3/30/2023
MissMarisRacal,3914131,550,14400,265,12,628808642,3/30/2023
princess_thea14,1335990,14,2175,36,12,1180262001253089280,3/30/2023
irene_sukandar,23788,406,3142,80,14,151561894,3/30/2023
adhibanchess,28813,513,1054,231,14,3086225424,3/30/2023
TaniaSachdev,63747,198,5432,628,14,1886392608,3/30/2023
DJRayRay_Taiwan,5082,889,7849,40,16,340244679,3/30/2023
woiiw,101802,40818,2578,208,10,430192464,3/30/2023
mattvsjapan,13217,358,2278,77,15,4634333330,3/30/2023
ryotarosjapan,26838,33,214,47,10,1337610818649636864,3/30/2023
rurusama9,88807,325,3911,79,5,1020642030840569856,3/30/2023
ruruspiano,15387,52,433,50,5,992661699009306624,3/30/2023
SS_utr3N,19394,36,3161,106,8,1009401802603704320,3/30/2023
jennykyros68,12237,131,203,72,14,1407290260791316480,3/30/2023
timmtsai,18720,198,318,6,9,1455747005850869769,3/30/2023
imma__jp,10886,161,1400,72,5,1017271237762953216,3/30/2023
akidearest,547884,473,1600,609,8,2281401692,3/30/2023
gourmetmei,133072,335,777,125,5,1413497060058288135,3/30/2023
joandthezhus,4294,1687,515,71,9,1126890737809772544,3/30/2023
GiggukAZ,851412,611,6361,919,8,228456219,3/30/2023
Irenezhao_,192803,319,2256,820,5,1366964220768776192,3/30/2023
Vhmq_,5982,379,326,26,5,1492794667473141761,3/30/2023
alinaamir,2835,1944,6910,14,15,29065360,3/30/2023
minavesguerra,6202,1392,169881,150,11,127871205,3/30/2023
realmanubhaker,144477,879,1864,75,2,976771469765160960,3/30/2023
manikabatra_TT,163899,435,2386,107,2,988671212216897537,3/30/2023
babamba2020,64287,2182,51399,366,11,261727021,3/30/2023
bestrongnow,48281,1887,87304,222,11,132591895,3/30/2023
imagolog,111020,195,6773,549,11,71793919,3/30/2023
wafflerica,3468,1714,3425,70,11,17061303,3/30/2023
andreas_lo,3878,2480,3075,118,13,4688401,3/30/2023
plspreeti,20210,298,21688,55,12,43293373,3/30/2023
PreetiJha,4112,3993,1976,132,13,28430142,3/30/2023
lukeanthonyhunt,19172,2714,3614,256,13,248001658,3/30/2023
sstrangio,14364,1578,16015,307,13,55191191,3/30/2023
prakchanthul,18370,3916,5825,245,13,228948446,3/30/2023
Shika42516408,181295,84,587,922,5,1109000851358519296,3/30/2023
veracruz777,13369,4706,250359,138,4,100899292,3/30/2023
SamuelBickett,21700,393,1873,73,11,1548159062,3/30/2023
AbroadInJapan,430936,212,9217,668,7,1659679688,3/30/2023
CDawgVA,889697,934,21531,889,10,43596071,3/30/2023
GracyBitget,201280,208,969,54,9,723224444752158720,3/30/2023
kathyjah,2579,2107,6367,55,9,125350320,3/30/2023
cnew888,406382,201,14449,69,1,2887191906,3/30/2023
sayompoo_eric,46665,1423,96537,46,13,4912566457,3/30/2023
victorrhan,119940,845,30664,35,10,751982203018543104,3/30/2023
ceemeagain,372970,1814,14110,1333,1,16851578,3/30/2023
suthichai,3101906,2832,114123,5354,1,12425692,3/30/2023
Woodytalk,3337390,1152,20826,3519,1,21539210,3/30/2023
panraphee,1325379,183,35866,1447,1,56156439,3/30/2023
ninanaka,717557,708,81949,1122,1,50845248,3/30/2023
dew_jsu,921705,34,453,414,12,906310748564971520,3/30/2023
PuimekSter,740447,419,92387,264,5,182279606,3/30/2023
MookWorranit,1460469,425,60344,296,12,139379061,3/30/2023
FiatAngelo,1496581,151,20471,618,12,2983484922,3/30/2023
ssingss,1111636,202,14668,671,12,2324101986,3/30/2023
tontawan_t,418701,252,57808,269,1,307782840,3/30/2023
view_benyapa,70083,121,1703,94,1,1044173902468067328,3/30/2023
VernLoveis,10072,193,56243,16,5,158024511,3/30/2023
Toptap_jirakit,1192632,313,35587,801,5,1659753438,3/30/2023
piiazzetta,8650,413,18219,26,3,172705160,3/30/2023
marauisxx,114868,861,29292,160,3,543901322,3/30/2023
Hamkdy_,134162,1614,85868,75,5,784219207474950144,3/30/2023
a_happy_color,28542,159,2189,130,3,1378368477044514816,3/30/2023
charoenpura,494523,434,28643,216,5,957779174726356992,3/30/2023
PavinKyoto,529470,547,2459,162,11,964172701794369537,3/30/2023
Eaaaw,105219,1135,93606,93,15,2286750120,3/30/2023
nutchlimited,25010,1499,47135,10,7,2594068573,3/30/2023
_annabellehuang,3926,677,423,68,14,110318853,3/30/2023
bkksnow,349893,1740,9592,259,15,86658130,3/30/2023
8sianmom,10129,2447,10731,41,9,95370227,3/30/2023
Chewtoro,54179,2370,16116,221,5,38639301,3/30/2023
MsF0m0,8947,2393,9310,18,5,1485201703347830790,3/30/2023
ellaces,2722,1515,10450,16,3,1437398777409671168,3/30/2023
tongtongbee,7228,1170,1053,119,9,4847257392,3/30/2023
zenaschin,1425,977,4527,30,15,940225472,3/30/2023
stylebymandii,15429,483,5712,12,5,4136277854,3/30/2023
kahei_art,4344,2757,5527,20,3,1484501868525264896,3/30/2023
two_tall_travel,2739,1801,4706,66,7,4079163014,3/30/2023
laviezine,5661,2947,50430,18,7,3637843213,3/30/2023
inkmodel,14378,1247,7175,9,3,66126858,3/30/2023
RichardBarrow,203630,198,106375,2414,7,72888855,3/30/2023
Saksith,18970,772,46081,578,13,3618041,3/30/2023
Thai_Talk,40500,1075,179790,492,11,116141566,3/30/2023
TheLilyfish,5471,3545,17530,208,13,298478363,3/30/2023
Pink_Siripipat,19868,599,35476,93,9,84077357,3/30/2023
Kunthida_FWP,96478,555,6670,102,14,123907907,3/30/2023
WPabuprapap,36739,623,9319,105,13,1223473075057881096,3/30/2023
kongchanut,14476,343,3442,21,10,396371797,3/30/2023
JakkritTomTom,291156,2038,156643,161,12,68178222,3/30/2023
TAXBugnoms,85100,0,4672,92,14,1016162716434640896,3/30/2023
johnwinyu,2015215,1555,124787,1017,1,58219570,3/30/2023
afdlinshauki,584650,1762,16492,626,7,23463101,3/30/2023
anaraffali,370573,769,22071,340,1,28177296,3/29/2023
realsehajpal,120860,28,3280,31,14,1083344415656214528,3/29/2023
deweysim,4750,1452,624,67,8,69835675,3/29/2023
inchchua,4195,570,565,93,12,83816651,3/29/2023
wordweed,2646,398,47992,8,12,46895632,3/29/2023
Kokilaparvathi,2504,363,779,15,12,483563636,3/29/2023
jolovanwham,5484,349,2487,45,5,2832429217,3/29/2023
RidhwanAzman,22554,814,41646,31,5,341629045,3/29/2023
mrbrown,415840,7496,65475,1238,10,574253,3/29/2023
angjunyang,4165,265,3751,57,12,58861733,3/29/2023
patrinechoo,2188,422,1266,7,12,1462075812039987209,3/29/2023
Superprincessjo,2014,149,16639,50,14,161254396,3/29/2023
iamkamyapunjabi,361773,140,7950,111,14,2286516338,3/29/2023
johnwinyu,2015586,1551,124772,1017,1,58219570,3/29/2023
TheNishantBhat,43368,78,1252,6,16,1423333290224721921,3/29/2023
PrernaSehajpal,37530,9,5759,5,10,1427994869260193795,3/29/2023
GAUAHAR_KHAN,3047353,223,17907,533,15,155561448,3/29/2023
ShamitaShetty,142415,60,6295,107,10,3251305220,3/29/2023
aneri_vajani,32517,402,6079,42,5,132445843,3/29/2023
Devoleena_23,98824,187,10806,65,5,96135256,3/29/2023
teemusphoto,38537,278,3589,448,8,838056188277370880,3/29/2023
realcheraims,75161,363,6568,29,14,1331447852657123329,3/29/2023
